time;GoverProp_Gover_PmPu;GoverProp_Gover_omegaPu;GoverProp_Gover_omegaRefPu_y;GoverProp_Gover_PmRawPu_y;
0;1;1;1;1;
1;1;1;1;1;
2;1;1;1;1;
3;1;1;1;1;
4;1;1;1;1;
5;1;1;1;1;
6;1;1;1;1;
7;1;1;1;1;
8;1;1;1;1;
9;1;1;1;1;
10;1;1;1;1;
11;1;1;1;1;
12;1;1;1;1;
13;1;1;1;1;
14;1;1;1;1;
15;1;1;1;1;
16;1;1;1;1;
17;1;1;1;1;
18;1;1;1;1;
19;1;1;1;1;
20;1;1;1;1;
21;1;1;1;1;
22;1;1;1;1;
23;1;1;1;1;
24;1;1;1;1;
25;1;1;1;1;
26;1;1;1;1;
27;1;1;1;1;
28;1;1;1;1;
29;1;1;1;1;
30;1;1;1;1;
31;1;1;1;1;
32;1;1;1;1;
33;1;1;1;1;
34;1;1;1;1;
35;1;1;1;1;
36;1;1;1;1;
37;1;1;1;1;
38;1;1;1;1;
39;1;1;1;1;
39.5;1;1;1;1;
40;1.3;0.6;1;1.4;
40.5;1.3;0.6;1;1.4;
41.5;1.3;0.6;1;1.4;
42.5;1.3;0.6;1;1.4;
43.5;1.3;0.6;1;1.4;
44.5;1.3;0.6;1;1.4;
45.5;1.3;0.6;1;1.4;
46.5;1.3;0.6;1;1.4;
47.5;1.3;0.6;1;1.4;
48.5;1.3;0.6;1;1.4;
49.5;1.3;0.6;1;1.4;
50.5;1.3;0.6;1;1.4;
51.5;1.3;0.6;1;1.4;
52.5;1.3;0.6;1;1.4;
53.5;1.3;0.6;1;1.4;
54.5;1.3;0.6;1;1.4;
55.5;1.3;0.6;1;1.4;
56.5;1.3;0.6;1;1.4;
57.5;1.3;0.6;1;1.4;
58.5;1.3;0.6;1;1.4;
59.5;1.3;0.6;1;1.4;
60.5;1.3;0.6;1;1.4;
61.5;1.3;0.6;1;1.4;
62.5;1.3;0.6;1;1.4;
63.5;1.3;0.6;1;1.4;
64.5;1.3;0.6;1;1.4;
65.5;1.3;0.6;1;1.4;
66.5;1.3;0.6;1;1.4;
67.5;1.3;0.6;1;1.4;
68.5;1.3;0.6;1;1.4;
69.5;1.3;0.6;1;1.4;
70.5;1.3;0.6;1;1.4;
71.5;1.3;0.6;1;1.4;
72.5;1.3;0.6;1;1.4;
73.5;1.3;0.6;1;1.4;
74.5;1.3;0.6;1;1.4;
75.5;1.3;0.6;1;1.4;
76.5;1.3;0.6;1;1.4;
77.5;1.3;0.6;1;1.4;
78.5;1.3;0.6;1;1.4;
79.5;1.3;0.6;1;1.4;
80;1.3;0.6;1;1.4;
