time;Load_load2_running;Load_load2_terminal_V_re;Load_load2_terminal_V_im;Load_load2_PPu;Load_load1_PPu;MS1_gover_PmPu;MS1_gover_omegaPu;MS1_gen_cePu;MS1_gen_PePu;MS1_gen_cmPu;MS1_gen_PmPu;MS1_gen_ufPu;MS1_gen_efdPu;MS1_gen_omegaPu;MS1_gen_theta;MS1_gen_PGenPu;MS1_gen_QGenPu;MS1_gen_PGen;MS1_gen_QGen;MS1_gen_UPu;MS1_gen_IStatorPu;MS1_gen_IRotorPu;MS1_gen_UStatorPu;MS1_gen_QStatorPu;MS1_gen_thetaInternal;MS2_gen_cePu;MS2_gen_PePu;MS2_gen_cmPu;MS2_gen_PmPu;MS2_gen_ufPu;MS2_gen_efdPu;MS2_gen_omegaPu;MS2_gen_theta;MS2_gen_PGenPu;MS2_gen_QGenPu;MS2_gen_PGen;MS2_gen_QGen;MS2_gen_UPu;MS2_gen_IStatorPu;MS2_gen_IRotorPu;MS2_gen_UStatorPu;MS2_gen_QStatorPu;MS2_gen_thetaInternal;
0;1;0.999993;-9.35206e-08;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79999;0.000130586;379.999;0.0130586;0.999993;3.80001;1.81725;0.999993;0.000130586;0.93957;-8.25707e-06;-8.25707e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.96102e-05;-4.12853e-05;-0.000130585;-0.00412853;-0.0130585;1.10264;0.000124207;1.10261;1.10264;-0.000130585;-2.67127e-05;
0.001;1;0.999993;-1.01214e-07;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79999;0.000129897;379.999;0.0129897;0.999993;3.80001;1.81725;0.999993;0.000129897;0.93957;-8.28238e-06;-8.28238e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.96107e-05;-4.14119e-05;-0.000129895;-0.00414119;-0.0129895;1.10264;0.000123646;1.10261;1.10264;-0.000129895;-2.66925e-05;
0.002;1;0.999993;-1.08924e-07;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79999;0.000129213;379.999;0.0129213;0.999993;3.80001;1.81725;0.999993;0.000129213;0.93957;-8.30794e-06;-8.30794e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.96116e-05;-4.15397e-05;-0.000129211;-0.00415397;-0.0129211;1.10264;0.000123091;1.10261;1.10264;-0.000129211;-2.66726e-05;
0.004;1;0.999993;-1.23517e-07;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79999;0.000127886;379.999;0.0127886;0.999993;3.80001;1.81725;0.999993;0.000127886;0.93957;-8.36117e-06;-8.36117e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.96145e-05;-4.18058e-05;-0.000127885;-0.00418058;-0.0127885;1.10264;0.00012202;1.10261;1.10264;-0.000127885;-2.66342e-05;
0.008;1;0.999992;-1.50118e-07;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79998;0.000125383;379.998;0.0125383;0.999992;3.80001;1.81725;0.999992;0.000125383;0.93957;-8.47534e-06;-8.47534e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.96258e-05;-4.23767e-05;-0.000125381;-0.00423767;-0.0125381;1.10264;0.000120029;1.10261;1.10264;-0.000125381;-2.65627e-05;
0.016;1;0.999992;-1.93267e-07;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79998;0.000120962;379.998;0.0120962;0.999992;3.80001;1.81726;0.999992;0.000120962;0.939571;-8.73441e-06;-8.73441e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.96694e-05;-4.3672e-05;-0.00012096;-0.0043672;-0.012096;1.10264;0.000116632;1.10261;1.10264;-0.00012096;-2.64411e-05;
0.032;1;0.999992;-2.54702e-07;1.89997;1.89997;0.76;1;0.759997;0.759997;0.76;0.76;0.00131627;1.81724;1;0.93957;3.79998;0.000113925;379.998;0.0113925;0.999992;3.80002;1.81726;0.999992;0.000113925;0.939571;-9.35011e-06;-9.35011e-06;-2e-05;-2e-05;0.000798663;1.10263;1;-2.98396e-05;-4.67506e-05;-0.000113924;-0.00467506;-0.0113924;1.10264;0.000111681;1.10261;1.10264;-0.000113924;-2.62733e-05;
0.064;1;0.999991;-3.49679e-07;1.89997;1.89997;0.76;1;0.759998;0.759998;0.76;0.76;0.00131627;1.81724;1;0.939571;3.79999;0.000104392;379.999;0.0104392;0.999991;3.80002;1.81726;0.999991;0.000104392;0.939571;-1.0844e-05;-1.0844e-05;-2e-05;-2e-05;0.000798663;1.10263;1;-3.04811e-05;-5.42198e-05;-0.00010439;-0.00542198;-0.010439;1.10264;0.000106682;1.1026;1.10264;-0.00010439;-2.61794e-05;
0.128;1;0.999991;-6.87472e-07;1.89996;1.89996;0.76;1;0.76;0.76;0.76;0.76;0.00131627;1.81724;1;0.939571;3.8;9.3565e-05;380;0.0093565;0.999991;3.80004;1.81726;0.999991;9.3565e-05;0.939572;-1.42842e-05;-1.42841e-05;-2e-05;-2e-05;0.000798663;1.10263;1;-3.26914e-05;-7.14207e-05;-9.35639e-05;-0.00714207;-0.00935639;1.10264;0.000106751;1.1026;1.10264;-9.35639e-05;-2.66217e-05;
0.256;1;0.99999;-2.63179e-06;1.89996;1.89996;0.76;1;0.760005;0.760005;0.76;0.76;0.00131627;1.81724;1;0.939571;3.80002;8.17578e-05;380.002;0.00817578;0.99999;3.80006;1.81727;0.99999;8.17578e-05;0.939574;-2.02592e-05;-2.02592e-05;-2e-05;-2e-05;0.000798663;1.10263;1;-3.88002e-05;-0.000101296;-8.17564e-05;-0.0101296;-0.00817564;1.10264;0.000118056;1.10261;1.10264;-8.17564e-05;-2.83302e-05;
